,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.05,0.1,0.15,0.05,0.3,0.15,0.15,0.1,0.15,0.0,0.05,0.0,0.15,0.25,0.05,0.05,0.1,0.2,0.05,0.05,0.15,0.05,0.05,0.1,0.15,0.05,0.15,0.05,0.0,0.15,0.1,0.1,0.05,0.1,0.2,0.15,0.1,0.25,0.05,0.05,0.0,0.0,0.05,0.1,0.0,0.1,0.15,0.15,0.05,0.1,0.0,0.25,0.1,0.0,0.1,0.15,0.05,0.05,0.15,0.05,0.1,0.1,0.2,0.25,0.1,0.15,0.25,0.1,0.1,0.05,0.1,0.25,0.05,0.0,0.1,0.2,0.1,0.1,0.05,0.1,0.1,0.0,0.0,0.1,0.0,0.15,0.25,0.1,0.05,0.0,0.1,0.05,0.1,0.0,0.0,0.1,0.1,0.05,0.05
2,0.05,0.2,0.15,0.25,0.25,0.35,0.2,0.25,0.05,0.25,0.15,0.1,0.1,0.15,0.3,0.15,0.25,0.15,0.2,0.1,0.1,0.15,0.15,0.15,0.15,0.2,0.05,0.15,0.15,0.05,0.1,0.2,0.05,0.1,0.2,0.15,0.15,0.15,0.25,0.3,0.15,0.05,0.15,0.15,0.15,0.4,0.25,0.25,0.1,0.2,0.1,0.2,0.2,0.1,0.15,0.05,0.3,0.1,0.15,0.1,0.05,0.05,0.1,0.1,0.3,0.15,0.15,0.25,0.15,0.2,0.1,0.2,0.35,0.15,0.2,0.35,0.25,0.25,0.25,0.2,0.1,0.15,0.0,0.05,0.2,0.2,0.15,0.1,0.35,0.25,0.1,0.2,0.15,0.25,0.05,0.1,0.2,0.05,0.1,0.05
3,0.0,0.15,0.25,0.3,0.2,0.35,0.15,0.2,0.15,0.3,0.2,0.1,0.15,0.2,0.25,0.25,0.2,0.15,0.15,0.15,0.1,0.2,0.2,0.15,0.2,0.25,0.2,0.15,0.2,0.1,0.1,0.3,0.1,0.35,0.15,0.2,0.4,0.15,0.4,0.25,0.2,0.1,0.1,0.2,0.1,0.25,0.3,0.25,0.2,0.25,0.15,0.15,0.15,0.1,0.15,0.25,0.35,0.3,0.3,0.15,0.15,0.05,0.2,0.2,0.25,0.2,0.2,0.3,0.25,0.15,0.25,0.2,0.3,0.35,0.15,0.3,0.3,0.3,0.2,0.2,0.2,0.15,0.25,0.25,0.1,0.2,0.25,0.15,0.35,0.1,0.35,0.25,0.15,0.35,0.05,0.15,0.2,0.15,0.15,0.1
4,0.1,0.15,0.2,0.25,0.15,0.45,0.2,0.25,0.25,0.2,0.05,0.1,0.2,0.2,0.4,0.1,0.2,0.25,0.2,0.2,0.05,0.3,0.25,0.3,0.25,0.35,0.2,0.25,0.3,0.25,0.2,0.3,0.05,0.35,0.1,0.15,0.45,0.3,0.35,0.35,0.15,0.15,0.15,0.2,0.2,0.45,0.15,0.35,0.25,0.25,0.2,0.2,0.25,0.3,0.25,0.25,0.2,0.3,0.3,0.3,0.1,0.05,0.3,0.35,0.25,0.2,0.25,0.3,0.3,0.25,0.25,0.3,0.4,0.35,0.2,0.4,0.4,0.3,0.45,0.2,0.15,0.05,0.1,0.15,0.3,0.3,0.25,0.15,0.4,0.15,0.1,0.25,0.05,0.3,0.15,0.15,0.35,0.1,0.25,0.2
5,0.25,0.2,0.2,0.25,0.15,0.5,0.4,0.25,0.0,0.35,0.15,0.3,0.1,0.15,0.2,0.2,0.3,0.3,0.2,0.15,0.15,0.2,0.2,0.15,0.35,0.45,0.25,0.25,0.3,0.3,0.2,0.3,0.05,0.45,0.15,0.3,0.45,0.25,0.35,0.45,0.2,0.0,0.2,0.2,0.15,0.4,0.25,0.25,0.2,0.25,0.15,0.25,0.35,0.2,0.3,0.25,0.3,0.25,0.35,0.4,0.2,0.05,0.3,0.25,0.15,0.2,0.35,0.3,0.3,0.25,0.25,0.25,0.45,0.3,0.05,0.35,0.35,0.25,0.55,0.45,0.3,0.35,0.15,0.3,0.35,0.25,0.3,0.25,0.35,0.15,0.25,0.25,0.2,0.45,0.2,0.2,0.3,0.15,0.3,0.25
6,0.15,0.3,0.25,0.4,0.3,0.45,0.35,0.25,0.25,0.3,0.4,0.2,0.2,0.15,0.35,0.35,0.4,0.1,0.25,0.2,0.2,0.3,0.4,0.25,0.35,0.5,0.15,0.3,0.5,0.25,0.25,0.3,0.2,0.3,0.1,0.45,0.45,0.4,0.25,0.45,0.15,0.0,0.15,0.15,0.2,0.3,0.4,0.25,0.35,0.3,0.2,0.2,0.3,0.2,0.25,0.25,0.3,0.3,0.25,0.4,0.2,0.1,0.4,0.2,0.35,0.25,0.35,0.45,0.45,0.25,0.45,0.05,0.5,0.4,0.2,0.55,0.4,0.35,0.45,0.25,0.2,0.3,0.35,0.25,0.45,0.35,0.45,0.25,0.45,0.2,0.25,0.35,0.15,0.4,0.2,0.3,0.35,0.25,0.4,0.2
7,0.15,0.3,0.25,0.55,0.2,0.5,0.2,0.25,0.2,0.45,0.4,0.4,0.25,0.15,0.3,0.35,0.4,0.3,0.45,0.3,0.25,0.3,0.5,0.4,0.6,0.45,0.5,0.2,0.4,0.55,0.2,0.5,0.1,0.45,0.25,0.45,0.3,0.5,0.45,0.5,0.4,0.15,0.1,0.35,0.3,0.4,0.4,0.45,0.45,0.4,0.2,0.25,0.25,0.3,0.35,0.5,0.4,0.25,0.35,0.55,0.2,0.25,0.5,0.3,0.4,0.4,0.35,0.55,0.5,0.4,0.3,0.5,0.35,0.6,0.25,0.5,0.45,0.5,0.5,0.35,0.3,0.45,0.35,0.45,0.45,0.25,0.2,0.4,0.6,0.4,0.4,0.45,0.4,0.4,0.3,0.25,0.3,0.3,0.3,0.55
8,0.35,0.65,0.2,0.55,0.35,0.55,0.25,0.2,0.3,0.55,0.55,0.3,0.25,0.15,0.4,0.3,0.3,0.55,0.35,0.4,0.1,0.35,0.4,0.55,0.4,0.35,0.6,0.3,0.5,0.55,0.4,0.35,0.25,0.3,0.45,0.5,0.6,0.6,0.4,0.65,0.4,0.2,0.2,0.25,0.4,0.55,0.45,0.4,0.5,0.5,0.4,0.4,0.35,0.4,0.5,0.55,0.55,0.55,0.35,0.65,0.2,0.2,0.55,0.45,0.4,0.55,0.5,0.45,0.5,0.5,0.45,0.4,0.5,0.55,0.3,0.4,0.55,0.55,0.6,0.45,0.4,0.45,0.35,0.35,0.45,0.35,0.5,0.55,0.65,0.35,0.5,0.5,0.3,0.5,0.35,0.4,0.55,0.35,0.45,0.5
9,0.3,0.65,0.4,0.65,0.4,0.55,0.35,0.25,0.15,0.4,0.55,0.45,0.5,0.35,0.3,0.5,0.65,0.65,0.35,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.65,0.45,0.55,0.65,0.45,0.7,0.3,0.45,0.35,0.5,0.6,0.65,0.55,0.6,0.3,0.35,0.45,0.35,0.35,0.4,0.45,0.6,0.6,0.5,0.35,0.4,0.45,0.45,0.6,0.55,0.85,0.5,0.5,0.45,0.3,0.25,0.55,0.55,0.35,0.45,0.35,0.5,0.5,0.4,0.4,0.45,0.55,0.75,0.5,0.45,0.4,0.55,0.65,0.4,0.35,0.35,0.45,0.5,0.5,0.5,0.35,0.55,0.55,0.35,0.3,0.45,0.5,0.5,0.45,0.45,0.35,0.4,0.55,0.55
10,0.25,0.6,0.35,0.55,0.5,0.5,0.2,0.55,0.4,0.6,0.45,0.4,0.35,0.25,0.4,0.65,0.6,0.45,0.55,0.35,0.35,0.3,0.45,0.7,0.5,0.45,0.75,0.35,0.6,0.65,0.45,0.55,0.45,0.4,0.35,0.45,0.6,0.5,0.45,0.8,0.35,0.25,0.6,0.5,0.5,0.55,0.35,0.5,0.75,0.35,0.4,0.4,0.35,0.45,0.45,0.6,0.6,0.7,0.6,0.5,0.3,0.35,0.7,0.35,0.45,0.4,0.4,0.6,0.7,0.5,0.4,0.55,0.65,0.65,0.5,0.5,0.45,0.65,0.65,0.5,0.25,0.55,0.4,0.5,0.55,0.45,0.55,0.6,0.65,0.45,0.55,0.5,0.3,0.55,0.45,0.4,0.5,0.3,0.65,0.55
11,0.4,0.5,0.5,0.7,0.4,0.45,0.2,0.45,0.2,0.65,0.5,0.6,0.6,0.35,0.45,0.5,0.5,0.55,0.6,0.4,0.3,0.45,0.45,0.65,0.5,0.6,0.55,0.45,0.45,0.7,0.35,0.7,0.3,0.4,0.4,0.6,0.75,0.9,0.6,0.8,0.35,0.25,0.55,0.5,0.4,0.6,0.45,0.6,0.55,0.55,0.35,0.45,0.45,0.45,0.55,0.6,0.45,0.55,0.35,0.7,0.3,0.45,0.6,0.55,0.3,0.45,0.4,0.65,0.5,0.5,0.5,0.55,0.55,0.75,0.45,0.7,0.55,0.65,0.6,0.5,0.4,0.5,0.5,0.6,0.55,0.6,0.4,0.55,0.75,0.55,0.6,0.6,0.5,0.6,0.5,0.55,0.45,0.55,0.6,0.55
12,0.4,0.6,0.45,0.8,0.35,0.7,0.35,0.4,0.45,0.65,0.6,0.65,0.35,0.45,0.55,0.75,0.65,0.8,0.6,0.55,0.4,0.65,0.65,0.65,0.65,0.65,0.7,0.3,0.45,0.6,0.3,0.65,0.55,0.4,0.55,0.55,0.75,0.85,0.65,0.65,0.45,0.35,0.3,0.65,0.5,0.65,0.45,0.7,0.75,0.45,0.5,0.6,0.45,0.35,0.55,0.45,0.55,0.6,0.55,0.75,0.25,0.4,0.6,0.65,0.5,0.7,0.5,0.55,0.7,0.7,0.5,0.5,0.7,0.55,0.6,0.55,0.5,0.65,0.9,0.55,0.6,0.8,0.7,0.65,0.55,0.5,0.55,0.8,0.8,0.5,0.6,0.65,0.6,0.55,0.35,0.55,0.6,0.45,0.55,0.7
13,0.5,0.7,0.4,0.7,0.2,0.65,0.6,0.55,0.55,0.75,0.75,0.55,0.55,0.55,0.65,0.7,0.85,0.8,0.65,0.45,0.35,0.7,0.75,0.65,0.85,0.75,0.8,0.4,0.65,0.65,0.35,0.7,0.55,0.5,0.65,0.4,0.7,0.8,0.55,0.65,0.45,0.3,0.55,0.75,0.55,0.65,0.4,0.45,0.75,0.6,0.45,0.55,0.4,0.6,0.45,0.7,0.4,0.75,0.65,0.65,0.45,0.45,0.7,0.6,0.65,0.55,0.55,0.6,0.7,0.6,0.5,0.55,0.75,0.6,0.45,0.65,0.65,0.75,0.75,0.55,0.55,0.65,0.65,0.75,0.65,0.75,0.45,0.85,0.5,0.8,0.75,0.55,0.65,0.6,0.6,0.5,0.6,0.6,0.65,0.7
14,0.45,0.7,0.5,0.75,0.5,0.65,0.55,0.5,0.6,0.65,0.8,0.55,0.7,0.55,0.6,0.65,0.85,0.9,0.65,0.5,0.55,0.65,0.75,0.75,0.7,0.5,0.75,0.7,0.75,0.6,0.4,0.7,0.55,0.4,0.55,0.55,0.65,0.7,0.65,0.7,0.55,0.4,0.65,0.6,0.5,0.85,0.4,0.6,0.65,0.7,0.5,0.55,0.4,0.65,0.7,0.65,0.8,0.65,0.55,0.75,0.35,0.4,0.6,0.55,0.55,0.65,0.6,0.7,0.8,0.7,0.45,0.75,0.85,0.6,0.65,0.5,0.7,0.85,0.65,0.5,0.35,0.6,0.75,0.8,0.75,0.55,0.65,0.85,0.6,0.65,0.7,0.65,0.7,0.6,0.6,0.6,0.5,0.6,0.65,0.55
15,0.5,0.45,0.6,0.65,0.5,0.7,0.4,0.65,0.6,0.7,0.55,0.65,0.55,0.45,0.55,0.5,0.6,0.7,0.55,0.3,0.45,0.45,0.5,0.6,0.6,0.6,0.6,0.55,0.55,0.45,0.4,0.6,0.65,0.4,0.65,0.65,0.55,0.55,0.5,0.5,0.5,0.55,0.6,0.6,0.55,0.55,0.6,0.55,0.8,0.65,0.35,0.4,0.5,0.45,0.55,0.5,0.8,0.45,0.35,0.65,0.4,0.45,0.75,0.75,0.55,0.45,0.65,0.75,0.8,0.65,0.55,0.65,0.6,0.6,0.65,0.75,0.55,0.55,0.45,0.65,0.55,0.6,0.5,0.7,0.5,0.45,0.5,0.35,0.65,0.45,0.45,0.55,0.65,0.5,0.35,0.65,0.6,0.65,0.5,0.45
16,0.35,0.4,0.5,0.6,0.4,0.65,0.4,0.6,0.55,0.45,0.6,0.6,0.55,0.6,0.9,0.55,0.65,0.7,0.6,0.4,0.45,0.5,0.4,0.45,0.65,0.7,0.55,0.5,0.65,0.5,0.45,0.45,0.5,0.5,0.6,0.6,0.65,0.65,0.55,0.55,0.55,0.5,0.5,0.55,0.75,0.85,0.5,0.6,0.45,0.9,0.45,0.7,0.55,0.45,0.3,0.8,0.6,0.7,0.55,0.8,0.5,0.4,0.55,0.7,0.5,0.6,0.55,0.8,0.5,0.55,0.45,0.75,0.75,0.7,0.55,0.65,0.75,0.45,0.6,0.55,0.5,0.55,0.75,0.65,0.5,0.55,0.5,0.6,0.65,0.6,0.5,0.75,0.35,0.6,0.5,0.55,0.55,0.65,0.7,0.65
17,0.35,0.85,0.5,0.55,0.5,0.8,0.5,0.6,0.55,0.75,0.55,0.5,0.45,0.75,0.8,0.8,0.65,0.65,0.75,0.5,0.6,0.75,0.75,0.5,0.65,0.8,0.7,0.65,0.65,0.5,0.5,0.5,0.65,0.7,0.6,0.6,0.7,0.65,0.75,0.65,0.45,0.35,0.55,0.5,0.65,0.55,0.7,0.5,0.6,0.6,0.45,0.55,0.5,0.55,0.4,0.55,0.8,0.65,0.65,0.45,0.4,0.6,0.65,0.65,0.85,0.65,0.7,0.7,0.5,0.6,0.6,0.8,0.7,0.7,0.4,0.55,0.55,0.45,0.65,0.6,0.5,0.55,0.65,0.55,0.7,0.7,0.6,0.6,0.8,0.7,0.6,0.5,0.55,0.7,0.55,0.6,0.8,0.7,0.6,0.6
18,0.45,0.5,0.6,0.65,0.55,0.75,0.65,0.6,0.6,0.55,0.75,0.55,0.7,0.75,0.8,0.6,0.6,0.55,0.7,0.6,0.6,0.6,0.7,0.45,0.6,0.7,0.6,0.75,0.7,0.5,0.45,0.55,0.4,0.65,0.7,0.45,0.6,0.75,0.6,0.75,0.55,0.6,0.65,0.65,0.6,0.4,0.8,0.7,0.55,0.7,0.6,0.5,0.5,0.5,0.45,0.6,0.5,0.75,0.6,0.6,0.25,0.7,0.6,0.55,0.45,0.55,0.7,0.7,0.7,0.55,0.55,0.65,0.75,0.75,0.45,0.7,0.6,0.6,0.65,0.6,0.55,0.75,0.5,0.55,0.65,0.65,0.5,0.7,0.9,0.6,0.7,0.75,0.45,0.8,0.6,0.6,0.7,0.65,0.45,0.6
19,0.45,0.45,0.65,0.6,0.45,0.9,0.75,0.75,0.4,0.65,0.6,0.45,0.6,0.7,0.7,0.6,0.65,0.7,0.8,0.6,0.65,0.7,0.7,0.6,0.65,0.85,0.5,0.5,0.7,0.8,0.3,0.65,0.7,0.5,0.6,0.6,0.55,0.55,0.8,0.5,0.7,0.55,0.7,0.85,0.7,0.65,0.65,0.75,0.55,0.7,0.6,0.5,0.55,0.5,0.45,0.55,0.6,0.6,0.7,0.8,0.35,0.6,0.5,0.8,0.6,0.65,0.6,0.9,0.7,0.65,0.75,0.6,0.7,0.6,0.6,0.65,0.6,0.6,0.75,0.6,0.5,0.6,0.6,0.7,0.75,0.8,0.55,0.65,0.85,0.75,0.6,0.6,0.5,0.5,0.55,0.55,0.65,0.55,0.65,0.7
20,0.65,0.5,0.6,0.5,0.5,0.65,0.65,0.6,0.5,0.6,0.85,0.7,0.55,0.6,0.75,0.9,0.5,0.65,0.8,0.8,0.55,0.45,0.7,0.6,0.75,0.65,0.5,0.6,0.6,0.6,0.65,0.75,0.7,0.75,0.7,0.7,0.65,0.65,0.55,0.6,0.8,0.45,0.8,0.75,0.65,0.65,0.8,0.5,0.6,0.7,0.7,0.65,0.55,0.6,0.65,0.5,0.6,0.6,0.7,0.75,0.5,0.65,0.65,0.8,0.7,0.65,0.8,0.8,0.65,0.6,0.6,0.65,0.8,0.65,0.7,0.6,0.6,0.6,0.6,0.7,0.55,0.6,0.45,0.6,0.7,0.75,0.4,0.75,0.6,0.8,0.5,0.75,0.5,0.6,0.7,0.65,0.65,0.65,0.4,0.65
21,0.55,0.7,0.65,0.55,0.55,0.8,0.8,0.65,0.75,0.8,0.7,0.95,0.7,0.6,0.8,0.85,0.65,0.6,0.75,0.8,0.5,0.6,0.7,0.6,0.65,0.7,0.6,0.65,0.8,0.65,0.6,0.65,0.75,0.75,0.6,0.55,0.7,0.85,0.55,0.7,0.75,0.7,0.75,0.75,0.6,0.65,0.65,0.6,0.6,0.7,0.95,0.7,0.45,0.7,0.5,0.65,0.7,0.85,0.65,0.65,0.5,0.5,0.8,0.8,0.8,0.55,0.8,0.9,0.5,0.85,0.55,0.6,0.55,0.7,0.8,0.8,0.8,0.6,0.7,0.65,0.7,0.5,0.65,0.7,0.6,0.85,0.5,0.6,0.75,0.65,0.55,0.6,0.55,0.55,0.55,0.55,0.8,0.5,0.6,0.55
22,0.7,0.65,0.65,0.65,0.55,0.8,0.7,0.6,0.65,0.65,0.7,0.7,0.7,0.55,0.8,0.85,0.7,0.65,0.75,0.75,0.7,0.6,0.75,0.7,0.65,0.7,0.65,0.7,0.8,0.75,0.6,0.5,0.65,0.7,0.8,0.55,0.8,0.75,0.7,0.7,0.65,0.7,0.9,0.65,0.7,0.85,0.75,0.85,0.8,0.6,0.75,0.7,0.7,0.65,0.6,0.55,0.7,0.75,0.8,0.7,0.6,0.65,0.7,0.8,0.6,0.75,0.9,0.9,0.7,0.85,0.75,0.75,0.75,0.65,0.6,0.75,0.7,0.55,0.65,0.7,0.8,0.7,0.7,0.65,0.75,0.65,0.65,0.8,0.75,0.65,0.75,0.85,0.55,0.65,0.5,0.65,0.7,0.7,0.3,0.75
