,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,-6736.772856666666,-5104.064143999999,-8240.10336,-5240.0653600000005,-6344.079344,-6984.086944000001,-4184.051984000001,-6324.079344,-5412.067791999999,-5650.071889999999,-7932.138632000001,-6028.845823749999,-5411.3359762499995,-5380.084839999998,-6983.859458749999,-6717.606807499998,-4996.32840125,-5047.579537499999,-7069.122109000001,-53033.86551875,-7397.128557000001,-5946.34355125,-6278.84885375,-6567.603777499999,-5067.579537499999,-5657.588627499999,-6428.851883749998,-7555.130975000001,-4715.074234999999,-54423.868548750004,-7210.124930000001,-8253.880668749998,-6258.848853749998,-4362.568932499999,-6306.349611249999,-8083.8776387499975,-7325.126945000001,-8558.885213749998,-8143.8776387499975,-42956.343551249985,-4982.086242,-6072.596202499997,-6503.8533987499995,-6191.348096249999,-7422.617412499998,-6701.115661000001,-5162.581052499999,-8467.634077499999,-6231.348096249999,-62590.136349999986,-6822.118482000001,-6883.859458750001,-6386.34961125,-7846.373851249999,-5491.095511,-5990.09393,-5962.5931725,-6492.602262499998,-5906.343551249998,-34810.075749999996,-6000.104780000001,-4813.82612875,-6923.859458749998,-5715.0987350000005,-5891.342036249999,-6465.101504999999,-6611.3541562499995,-8286.379911249998,-5305.083325,-40717.5886275,-6046.105586000001,-4196.3162812499995,-6008.103168000001,-8301.381426249998,-6005.095444999998,-7110.112109999997,-4755.074235,-5942.5931725,-7035.110594999999,-43130.09392999999,-5695.0987350000005,-6043.105183000001,-5343.835218749999,-5482.587112499999,-7260.115139999998,-6658.854913749998,-5570.0878699999985,-6983.859458749998,-9722.653772499998,-32180.795003571428,-4220.0545999999995,-7540.094239999999,-5852.073872000001,-8352.104272,-5468.069008,-6480.08208,-6408.079647999999,-5940.074479999999,-6492.081471999999,-7110.11211
1,-6316.766196666667,-5792.072352,-5159.063859,-4026.0483619999995,-5209.0642210000005,-3445.042833,-4589.056253,-3570.04737,-3289.037045,-3835.0492830000003,-6059.108031000001,-6346.3505832499995,-4263.568117499999,-3283.8033987499994,-3917.80968875,-4473.071413000001,-3804.3107572500003,-4554.32219125,-4068.0709280000005,-29134.06667399999,-6885.121385,-3428.8049037499995,-5173.832188750001,-4169.316466249999,-5641.33829825,-3775.3096002499997,-4073.815532749999,-5298.0921180000005,-5125.078809000001,-39527.58409349999,-5589.0979290000005,-7036.36022925,-5907.594993499998,-6023.344504249999,-3277.5513435,-5238.33412725,-5320.092732000001,-5110.5798085,-4905.079017,-36985.5791235,-4185.073153,-3782.5624405,-5645.589827499999,-4687.8245827499995,-4902.5790925,-4943.0832390000005,-2237.5350755,-5500.085099999999,-3636.3091292500003,-36409.08485299999,-5111.089851000001,-6053.093956999999,-3385.053997,-2449.040609,-5526.095414,-4126.31669925,-3996.5651385,-4336.81926775,-4557.32146225,-32452.82715374999,-5244.091572,-3825.059109,-6290.099689999999,-3014.0530820000004,-4728.82311575,-4206.31599125,-4412.3197012499995,-3661.5594235,-4206.564732500001,-37329.58153149999,-4554.079482,-5183.831150749998,-4815.0836150000005,-4792.570506499999,-4323.070222999999,-6180.097336000001,-4205.31438225,-3791.5593014999995,-4012.8144117499987,-39649.339176249996,-3068.0534040000002,-4964.087512000001,-6138.599708499999,-5668.839763749999,-5649.089948999999,-5362.585292499998,-4327.5658655,-3722.5593805,-6121.594715499999,-34300.658642857125,-4284.0556959999985,-3688.0462079999998,-5620.0713719999985,-6587.082379,-5248.065968,-7478.093337999999,-3955.048855,-6300.083167999999,-5177.067197,-6130.764366666668
2,-4851.744659666666,-3799.048315,-2854.034042,-3025.0389290000003,-3308.040972,-2324.030032,-4047.052859,-2544.035356,-3757.043533,-4365.056725,-5738.100138000001,-4417.5704475,-2944.0473880000004,-2953.5489314999995,-2496.28867325,-4732.82331575,-2542.79080575,-2826.7938857499994,-3805.0670890000006,-28067.062814999997,-7230.127058000001,-3531.80601475,-2776.5425745,-3780.5585384999995,-2968.794051749999,-2949.5458715,-6596.10492,-3831.065203000001,-3526.30550725,-44847.35141824999,-4839.081835000001,-5459.5874054999995,-4543.822822749999,-3891.5614295,-4071.3152362499995,-6059.34777625,-3107.0529910000005,-5035.329024250001,-3190.8023537499994,-26631.5561255,-2035.0351990000001,-3122.5479325000006,-5036.32972125,-4076.3112012499996,-4175.063783,-2300.0403,-4294.31500325,-3840.5606624999996,-3850.060466,-22236.555178500003,-4738.083018,-5533.838248749999,-4425.068200999999,-4081.31671825,-5495.095915000001,-4876.075968,-1401.27402625,-3981.5613474999996,-3838.31225525,-21906.051357999997,-3506.061262,-3220.80117175,-3613.80844875,-3451.0608790000006,-3658.0569659999996,-3517.80468475,-3175.0497029999997,-3338.5543205000004,-3254.0529339999985,-25109.054557,-3381.0589290000003,-2375.0375750000003,-4449.076749,-2609.5393914999995,-3113.79856475,-2231.7845307499997,-4040.0616840000002,-3097.048048999999,-2885.29450625,-21991.556321499997,-3197.0563290000005,-2791.0505270000003,-3528.3065612499995,-4231.81483875,-4914.580464499999,-3689.5588035000005,-2859.045231,-3255.049483,-4501.321138249999,-11186.601280857141,-5556.736983333331,-4804.061288,-3275.0395470000003,-3787.045027,-3813.050445,-5642.069625999999,-4360.0553119999995,-3641.0472969999996,-3956.0498559999996,-4913.410293333333
3,-4921.745769666668,-5180.0653600000005,-3056.037896,-3106.0386820000003,-2202.0307540000003,-2124.0270040000005,-3770.046222,-3399.0447910000003,-4406.049949999999,-2720.702043333333,-4531.079675,-5273.833640749999,-4095.0661150000005,-2617.0437530000004,-3207.550689499999,-3460.051012,-1618.77583375,-3377.8020967500006,-3495.0607030000006,-35645.326452249996,-7686.135994000001,-3153.3018862500003,-3763.81025475,-2812.5451424999997,-3050.0455780000007,-2212.7815557500003,-4075.3162842499996,-4387.076519000001,-3871.307140249999,-44105.09774499999,-3873.0650050000004,-4073.81674875,-3096.2979212499995,-3185.050181,-1863.2805682499998,-4825.075701,-4716.0811,-3301.0468489999994,-1279.020795,-24774.79975575,-3386.0592380000007,-3400.5521385,-4986.5785605,-3668.30860525,-2726.29114325,-3082.0540020000003,-2988.7968837500002,-2411.5303974999997,-3436.80465175,-29504.070263999994,-3967.0698350000007,-3440.054539999999,-2982.79591375,-3977.8150167500003,-4201.072141,-4607.072222999999,-2027.5342175,-2354.5364085,-3484.5553185000003,-23145.053700999997,-4275.074555,-3723.806170749999,-2960.2946412500005,-2479.042331,-3062.3003232499996,-2429.78614475,-3297.80257675,-2302.28867125,-4642.073797999999,-21906.293201250002,-3746.0665620000004,-2687.5416735,-5256.092060000001,-3173.0512329999997,-3705.0598769999997,-1274.5206165,-2548.7893997499996,-3015.0477349999996,-2850.5458604999994,-29287.318338249996,-3139.0540950000004,-2532.0451000000003,-3085.80105275,-3196.800267750001,-3040.29516925,-2733.5438914999995,-1426.2732152499998,-4849.076481,-4909.080101,-11857.884177285712,-4521.724420333333,-5175.065747,-5054.063334,-4165.051429,-5639.071343,-4203.052355,-1755.020187,-3299.0437749999996,-3120.03952,-3703.3914233333335
4,-5780.091020000001,-3352.041952,-3948.048844,-2889.0350049999997,-2138.028006,-2336.029112,-4583.057639,-2331.030095,-3819.043943,-3868.382849666667,-5097.0903450000005,-5053.82996875,-2432.28835725,-3042.2990392499996,-2524.7929917499996,-3628.8035837499992,-2233.7841527500004,-2010.2845272499999,-1690.0294780000002,-28138.31885325,-3227.0583750000005,-2329.5382074999998,-4356.32098125,-2893.2945502499997,-2814.2940392500004,-2711.5434774999994,-4483.32190025,-5128.089108000001,-2946.5452444999996,-22762.548168499998,-4985.084989000001,-3302.30297125,-1869.2790702500001,-2311.28692025,-3208.3016692500005,-4280.570998499999,-4134.071258,-2353.78782075,-1906.27961925,-12046.030837999999,-3004.0539000000003,-2833.045213,-3466.30465925,-2736.2933092499998,-3941.31127825,-4774.0818340000005,-2167.5312855,-1481.025253,-1890.031642,-14605.039344999997,-5494.095914,-5605.5909595,-2827.79282675,-3090.0509499999994,-3329.057757,-3389.8028007499997,-1831.5326974999998,-3746.5593684999994,-2988.5474265,-19930.795027749995,-3106.054406,-3092.2997932499998,-3144.0521120000003,-3013.051993,-3016.295233249999,-2112.28262925,-2840.0445,-1449.27516225,-1853.7792927499997,-19422.292841249997,-4735.080619,-2990.29427125,-3767.0666830000005,-3808.30842125,-2359.2888762499997,-1088.76920775,-2732.29189325,-1025.016965,-1632.5250105,-20578.549132499997,-3017.052321,-3864.0687680000005,-3605.80715275,-3563.5561975,-2775.042511,-3435.30501225,-2822.5453925,-3087.0490269999996,-3271.3010242500004,-13330.321371428568,-4575.058254999999,-3218.040938,-4242.052302,-3286.0422940000003,-2948.0392239999996,-4365.055224999999,-2696.033152,-4034.0532779999994,-4072.0525440000006,-4785.741969666666
5,-4520.738936666667,-4236.052604,-3266.0395340000005,-2480.0313199999996,-2120.025424,-1421.017765,-3413.043741,-4582.057945999999,-3854.0443380000006,-3733.3820906666665,-4191.072203000001,-3267.5530655000002,-2722.2908432500003,-1000.0139680000001,-2834.046286,-2089.5293635000003,-962.014198,-2634.79422575,-4811.084315000001,-14975.788284749997,-5592.098824000001,-1427.7734027499998,-3508.8060957499993,-3374.05289,-1613.023597,-2442.5369605,-4022.0642820000003,-3638.0644620000003,-3152.5488104999995,-14079.030910999996,-6208.1066040000005,-3616.3070852499995,-4875.075418999999,-2046.2823272499998,-2907.5460695,-1789.7773447499999,-1449.0253890000001,-2244.28614925,-1863.78045875,-13191.28107825,-3211.057227,-2693.79334475,-2898.2968712499996,-3706.5595765000003,-3158.8004297499992,-3206.0564380000005,-3603.0589750000004,-1782.2765152499999,-2979.2988322499996,-18593.79479475,-5839.1019590000005,-3803.8106787499996,-1736.2769012499998,-3246.30193525,-3614.0630460000007,-3245.30045425,-1696.2763732499998,-1482.5236685,-3602.5548724999994,-12281.78288675,-3699.0652470000005,-2863.7907147500005,-2709.2944582499995,-1719.0273630000002,-2834.045554,-2070.030538,-2822.0455299999994,-1219.27075625,-2221.78540475,-15741.035249,-2698.0467620000004,-1673.77672475,-3568.062068,-2336.28581725,-3225.0498969999994,-2450.039206,-2919.046007,-1592.5245705000002,-973.2655662499999,-8393.273752250001,-2400.0406480000006,-1922.03553,-1575.27764425,-3399.3018482499992,-1890.2770912499998,-2998.7989577499998,-1447.7739987500001,-2070.78120175,-2181.037161,-12344.60809085714,-2044.692943333333,-2656.03412,-2327.030707,-3534.0462820000002,-1855.026947,-3809.0498969999994,-3143.039403,-4200.051855999999,-3656.048072,-4366.733630666667
6,-4363.402523333332,-2783.035607,-3006.038182,-2030.0261019999998,-2120.0276479999998,-1456.019472,-3008.038128,-3226.04165,-2886.035886,-1819.0244790000002,-3587.0642830000006,-2152.5340825,-2383.0365549999997,-2836.29719325,-2037.5303395,-2206.7849777500005,-2276.28286125,-1415.022339,-2902.0514020000005,-15785.5400515,-5156.091652000001,-2283.5366735,-3870.3123232499997,-2284.7867237500004,-2497.78472075,-1464.77299975,-2384.5373744999997,-3066.052682,-1089.015001,-22961.553771500003,-2482.042254,-2680.5443665000003,-3655.5585175000006,-1987.5322335,-2776.5428905,-2083.034219,-2754.04557,-2643.044327,-1792.5275224999998,-16744.29129525,-2956.05326,-4790.075753999999,-4092.81661575,-2850.79548575,-2991.044051,-3531.0610230000007,-2792.7948957499993,-1355.2724322499998,-2466.2843952499998,-9587.5273535,-4529.077793,-3342.5533205,-1922.5295525,-2367.5379535,-2900.048556,-1287.7699507500001,-814.5161884999999,-2011.28232825,-2920.5478345,-21797.052564999998,-5289.092681000001,-3550.304687249999,-2391.7883147499997,-2361.041913,-3342.5527525,-1536.5190025000002,-2043.033375,-1106.26901125,-1713.27803025,-24388.5443505,-1754.02943,-2391.2875722500003,-3543.062419000001,-1355.018219,-1965.5294435,-974.76641375,-2316.28748125,-2079.78115075,-1241.27019825,-9479.28073825,-3454.057662,-1642.0299300000001,-2215.036507,-925.76464875,-1575.77261475,-1583.5251855,-1586.2759472500002,-2198.7828937500003,-2285.7886287499996,-12298.602628857141,-2829.035345,-1944.025148,-4410.058494,-4190.054306,-3793.050625,-4238.054258,-1749.0216810000002,-3436.043824,-3632.0473799999995,-2943.376155333333
7,-6423.434299333333,-5180.06842,-5620.0692119999985,-5240.0653600000005,-3895.047003,-3921.046861,-4142.05409,-2779.0393629999994,-4485.052133000001,-6035.414780666666,-4030.0691100000004,-5238.5813645,-5244.084452,-4306.066918,-2729.042609,-2191.2829602499996,-1003.0122630000001,-3240.30034925,-3588.062868,-26994.058609999996,-5004.089804,-3214.5581404999994,-4204.065068,-1415.0196270000001,-2323.7843147500002,-4037.5643874999996,-1831.7786427499998,-4922.08849,-1907.2829642499998,-20960.297371249995,-5138.088326,-3245.052069,-5414.082926,-2798.046386,-2691.039935,-3433.5579114999996,-3143.054503,-3060.0487439999997,-3474.8063377500002,-9356.5316265,-3930.0688980000004,-4972.8281477499995,-3908.81261575,-2913.79380475,-2305.039653,-3270.056694,-3127.049607,-4545.827308749999,-2265.5359635,-17216.29273525,-6177.1081890000005,-7361.86969675,-3769.3101102500004,-2052.28576925,-5026.0829619999995,-3936.31134125,-2276.7877277499997,-3451.3049002499993,-5282.582164499999,-27280.315915249997,-4479.079831000001,-5205.3360142500005,-2425.5380075,-4166.070238,-3399.30662825,-2760.0390440000006,-1676.02982,-2683.7943787499994,-2604.2927132500004,-18486.540740499997,-3606.0593780000004,-3875.80991075,-2822.043914,-4213.314082250001,-4292.569402499999,-3227.5523055000003,-3890.3114432499997,-3334.0491260000003,-2029.27817425,-15115.043634999998,-4414.075818,-3810.070202,-3915.31081625,-4386.068762,-2312.5378905,-3515.80694275,-2277.5340355000003,-3991.8139627499995,-2809.2916622500006,-18008.62220285714,-4690.393275666666,-3522.0465619999995,-5080.063908,-3031.0394269999997,-3838.055226,-5825.069565000001,-4783.060718999999,-4142.054682,-4182.052086000001,-4438.403238333333
8,-4960.0794799999985,-3724.0461320000004,-2013.0211370000002,-1586.0203660000002,-2004.0184359999998,-4945.061552999999,-5414.067509999999,-3891.053479,-3594.0415700000003,-4499.059219000001,-4266.074382,-3811.5604135000003,-2666.045154,-3843.3142642499997,-1701.77755275,-3576.055988,-2280.034408,-3863.062003,-4114.0696419999995,-19509.049788999997,-5391.096787,-2887.5535014999996,-2910.29604325,-3416.0547319999996,-1929.0299009999999,-2816.29463325,-2376.7878397500003,-6201.109193000001,-1690.021454,-13423.5230015,-4671.077475,-3520.5539025000003,-4974.080882,-2523.78549475,-1961.5316355,-2813.7965487500005,-2861.0509450000004,-2065.033297,-1346.5222445000002,-6211.265762249999,-4414.076662,-3204.0496000000003,-4213.319222249999,-2403.78962275,-3540.5586585,-2945.0537410000006,-2446.2868992499994,-4840.83221575,-3320.30083725,-19989.796430749997,-6002.105362000001,-5559.33945225,-4106.062354000001,-2556.79259175,-4637.076204999999,-2025.28013025,-1636.2774852500002,-3290.5543004999995,-2682.29473525,-19287.799452749998,-3232.0578720000003,-5246.83008175,-2637.5437675000003,-2863.0502070000007,-2918.045638,-2653.5389235,-3168.80348775,-1904.5305425,-1681.028105,-12139.529797499998,-3164.0508720000003,-4057.5651075000005,-3366.059202,-2796.5427465,-3691.3073082499996,-2040.5294385,-1645.27505425,-2209.0341249999997,-1681.5255914999998,-31759.825656749996,-3095.0528109999996,-3634.065842,-4302.3181912499995,-3706.059366,-2992.2991652499995,-3943.062362999999,-1798.2782072500002,-2265.28646625,-3331.8041467499997,-11913.029388999998,-3974.051322,-4029.0529370000004,-5851.074371,-2901.0365890000003,-5345.069580999999,-5424.069571999999,-1717.022665,-2638.035918,-5784.07402,-4370.065365999999
9,-3886.0632299999993,-2564.0337999999997,-2887.0286829999995,-3434.0457380000003,-2539.0260909999997,-3619.044887,-4032.0515840000007,-3236.0475960000003,-3882.0477300000002,-3566.7117933333334,-2088.037064,-3627.8059267500007,-2767.2983762500003,-3584.5628984999994,-2427.28650825,-2330.28525125,-2477.5349755,-2003.78339875,-3384.0573799999997,-10413.778618749999,-4485.080553000001,-2887.80019475,-4237.5649515000005,-3011.5489495,-1526.27559525,-1787.77709075,-1923.5299415,-3891.0692950000002,-1464.5200225,-9740.5277065,-4735.077723,-2339.28845225,-4272.567382499999,-2283.5336015,-2548.28889725,-1688.7748797500003,-3035.054599,-2575.5413015000004,-756.5124865,-6818.770611749999,-2898.0500460000003,-3777.0611169999993,-2800.79784775,-2770.7922177499995,-1259.5235175,-4440.080172000001,-1920.0268999999998,-3234.30608725,-2389.036729,-9825.778798749998,-4630.081338000001,-3484.0556839999995,-3666.5552764999998,-2640.044028,-4017.0643530000007,-2750.79133375,-2444.04046,-3027.0497109999997,-2719.29661225,-27044.070407999996,-4784.085324000001,-4512.072844,-1435.5253814999999,-3423.060635,-1316.5218384999998,-2628.5350865,-2288.5370825,-1912.5310185,-1485.77522875,-8449.26871225,-3804.0636520000003,-5700.8400517499995,-3066.054418,-3602.5554804999997,-2832.0414880000003,-1402.5217725,-2191.034971,-1893.027445,-2212.28369325,-26547.558025500002,-5111.085486999999,-3989.0718770000003,-1875.28074025,-2840.0418119999995,-3088.7985877499996,-2450.0388459999995,-1841.7760247500003,-3729.8073087499997,-2082.78199775,-18285.62789185714,-3441.710000333333,-2936.0374839999995,-4889.061280999998,-1188.01376,-4447.059367000001,-3406.0431419999995,-3043.037103,-2942.0374019999995,-4526.057162,-3118.375970333333
