,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,-7036.772856666666,-5344.064143999999,-8560.10336,-5380.0653600000005,-6584.079344,-7184.086944000001,-4324.051984000001,-6604.079344,-5692.067791999999,-5770.071889999999,-8272.138632,-6328.845823749999,-5671.3359762499995,-5640.084839999998,-7243.859458749999,-7057.606807499998,-5116.32840125,-5267.579537499999,-7309.122109000001,-53333.86551875,-7717.128557000001,-6186.34355125,-6498.848853749999,-6827.603777499999,-5267.579537499999,-5837.588627499999,-6688.851883749998,-7895.130975000001,-4915.074234999998,-54743.868548750004,-7470.124930000001,-8633.88066875,-6498.84885375,-4542.568932499999,-6626.349611249998,-8403.877638749998,-7625.126945000001,-8858.88521375,-8403.877638749998,-43256.343551249985,-5242.086242,-6372.596202499997,-6823.8533987499995,-6491.348096249999,-7782.617412499998,-6941.115661000001,-5342.581052499999,-8787.634077499999,-6451.348096249999,-62950.136349999986,-7142.118482000001,-7183.859458749999,-6526.34961125,-8146.373851249999,-5751.095511,-6190.09393,-6142.5931725,-6772.602262499998,-6166.343551249998,-35010.075749999996,-6280.104780000001,-5033.82612875,-7203.85945875,-5895.0987350000005,-6091.342036249999,-6685.101504999999,-6811.3541562499995,-8546.379911249998,-5545.083325,-40957.5886275,-6326.105586000001,-4376.3162812499995,-6168.103168000001,-8661.381426249998,-6305.095444999998,-7390.112109999997,-4915.074235,-6162.5931725,-7275.110594999999,-43390.09392999999,-5935.0987350000005,-6323.105183000001,-5603.835218749999,-5742.587112499999,-7560.115139999998,-6938.854913749998,-5810.0878699999985,-7203.859458749998,-10042.6537725,-32420.795003571428,-4440.0545999999995,-7780.094239999999,-6112.073872000001,-8672.104272,-5748.069008,-6800.08208,-6668.079647999999,-6180.074479999999,-6812.081471999999,-7450.11211
1,-7196.775076666668,-6872.082992000001,-6724.080864,-5488.065968,-7156.086336,-7636.092415999998,-5616.066575999999,-5844.070224,-5560.06688,-6416.746443333332,-7737.128557000001,-7536.364761249999,-5742.587112499999,-5002.574992499998,-7916.370821249999,-6308.845823749999,-5888.839763749999,-6498.84885375,-5518.091078,-47600.103019999995,-7631.127751000001,-5525.083325,-5841.33900625,-5033.826128749999,-7370.112109999999,-6641.351126249997,-5572.5840825,-8654.144274,-6170.093929999999,-40803.83824874999,-7237.120497000001,-7885.119685,-7857.618927499998,-8340.12726,-4463.81703875,-8407.6280175,-6869.114049000001,-7136.358701249999,-8257.6249875,-45822.599232500004,-5452.090272,-4942.574992499998,-6122.593172499999,-6495.098474999999,-7255.110594999998,-5941.0995410000005,-4633.820068749999,-8150.1242299999985,-5928.83976375,-52097.61286749998,-6458.107198000001,-6911.354156249998,-5406.33143125,-5160.07878,-6231.103571000001,-6586.349611249998,-6820.10302,-6213.84430875,-6502.5992325,-48468.85491375001,-5682.094302,-5145.077264999999,-8166.373851249999,-5840.0967200000005,-6847.6037774999995,-5521.332946249999,-7017.606807499999,-6498.848853749999,-6780.10302,-50961.36021625,-5297.088257,-7580.115139999999,-7789.130169000001,-6562.599232499998,-5342.581052499999,-7580.115139999999,-6681.35112625,-6820.103019999999,-5976.340521249999,-45321.34809624999,-4377.072137,-7010.116870000001,-8383.877638749998,-5928.839763749999,-7647.615897499998,-5810.087869999998,-7207.609837499998,-6455.098475000001,-8197.6249875,-38408.667042857116,-4906.727333333333,-4948.059888,-6148.073568,-8132.098192000001,-5160.062319999999,-8028.096367999999,-5728.069008,-8636.104576,-6608.079647999999,-7573.448033333334
2,-6036.757316666665,-6296.075695999999,-5708.0690079999995,-6776.081776000001,-7300.08816,-7808.094847999999,-6324.076304,-6944.083904,-5508.065968,-7083.420996666667,-7493.125333000001,-5695.086355,-6705.101504999998,-6253.844308749998,-8201.37536625,-7366.361731249999,-5647.585597499999,-5663.8352187499995,-5998.0991380000005,-49123.85642875,-8252.138632,-5976.340521249998,-4867.5734775,-5786.3374912499985,-5077.576507499999,-5552.584082499998,-8015.122715,-6510.108810000001,-8110.124229999999,-57757.62498749999,-6372.106392000001,-9258.89127375,-6420.096959999998,-6071.342036249999,-6060.090899999998,-8411.378396249998,-5314.087854,-8031.372336249999,-6257.594687499999,-51248.86097375,-3417.0560170000003,-4277.5643875,-7421.363246249999,-6986.3556712499985,-7488.864003749998,-5892.0983320000005,-7928.870063749997,-7192.608322499998,-6566.349611249999,-47733.85339875,-5530.09269,-7587.615897499999,-7037.6068074999985,-6725.101504999998,-7421.123721000001,-6688.851883749999,-5057.5765075,-6855.1045349999995,-8170.12423,-40977.588627499994,-3992.0660920000005,-4535.068175,-5346.33143125,-5932.0983320000005,-7267.609837499997,-6657.6007475,-5081.32688625,-5746.337491249999,-6305.095444999999,-37095.080295,-4581.075361,-5231.329916250001,-8338.139438,-6403.84733875,-5125.077264999999,-5663.835218749999,-7200.109079999998,-6440.096959999998,-6728.851883749998,-48836.35567125,-5257.088257,-4863.081003,-4518.818553749999,-5861.339006249999,-8015.1227149999995,-6610.099989999999,-5267.579537499999,-5057.5765075,-9251.39051625,-29092.215260714274,-7310.09009,-7568.091807999999,-5436.065056,-7292.087551999998,-5132.061712000001,-7532.090591999999,-5936.071136,-5804.070223999999,-4804.058064,-5926.756206666668
3,-5806.7539866666675,-7608.091808,-6248.075087999999,-6588.079647999998,-5016.060495999999,-7928.0963679999995,-5492.066271999999,-5792.069312,-7156.086335999999,-5643.402796666667,-6740.112840000001,-6843.853398749998,-6277.594687499999,-5565.083325,-6990.106049999999,-6535.098474999998,-3766.30719125,-5830.087869999998,-5409.089869,-55612.62044249999,-9252.154752,-5663.8352187499995,-7081.3571862499975,-6237.594687499999,-6515.098474999998,-5358.83067375,-8347.6280175,-7668.127348000001,-8023.871578749999,-60537.63104749999,-5990.1007500000005,-7960.121199999999,-4843.823098749999,-7128.857943749998,-3711.30567625,-7508.864003749997,-8010.132990000001,-6688.85188375,-4661.320826249999,-55980.12119999998,-5564.091884,-5592.5840825,-7481.363246249998,-6732.6022625,-5583.8352187499995,-5481.091481,-7508.864003749999,-8070.124229999998,-7287.609837499998,-55632.620442499996,-5656.093496,-4558.818553749999,-6007.591657499999,-6091.342036249998,-6783.113243000001,-8400.127259999997,-7857.618927499999,-6803.85339875,-8213.874608749999,-50881.360216249996,-5472.090272,-5267.579537499999,-6153.84430875,-5179.085839,-6653.85036875,-6122.5931725,-7105.107564999998,-6665.1015050000005,-8641.381426249998,-35725.077264999985,-6642.110422000001,-5176.32840125,-9534.160394,-7857.618927499998,-5738.8367337499985,-6078.84279375,-6186.343551249998,-7148.857943749999,-7258.86097375,-51923.86248874999,-5593.093093,-4676.077376,-6668.85188375,-6091.342036249999,-5251.32991625,-5196.328401249998,-4186.31325125,-6986.355671249999,-10086.404151249999,-18239.331096428563,-7793.429186666666,-8528.102447999998,-6772.081472,-8504.102143999999,-7320.088159999999,-6976.084816000001,-4468.053808,-7132.086031999998,-4824.058064000001,-4420.0666
4,-6663.433603333334,-4824.058064000001,-7128.085728,-7504.091504000001,-5416.0650559999995,-7944.096063999998,-7684.093024,-5196.062015999999,-7200.08664,-6136.7428033333335,-6490.108810000001,-6155.092414999999,-7037.6068074999985,-5450.08181,-8882.635592499999,-6993.856428749999,-4847.573477499998,-6716.35264125,-4334.071734,-60497.631047499985,-4518.074958,-7001.357186249999,-8035.1227149999995,-7041.357186249999,-6911.354156249998,-6020.090899999998,-8193.874608749999,-10034.168454,-7790.118169999998,-42367.5916575,-7881.131781000001,-6396.346581249998,-4190.063630000001,-6803.853398749998,-4427.5674174999995,-7563.865518750001,-7875.130975000001,-6621.351126249999,-5877.588627499999,-50493.85945875,-5136.085436,-5097.576507499998,-5488.833703749999,-6138.842793749998,-7180.10908,-9611.159991,-4708.821583749998,-6221.34506625,-5722.5871125,-52117.61286749999,-7053.117273000001,-8471.378396249998,-5461.33294625,-6518.848853749999,-7059.118079000001,-7211.360216249999,-6692.6022625,-8308.876123749997,-7916.370821249999,-47252.6022625,-3627.0600470000004,-4796.322341250001,-7362.611352499997,-6294.103974000001,-5782.587112499999,-5833.8382487499985,-7912.620442499999,-5892.590142499998,-5081.326886249999,-49010.10604999998,-7231.119691000001,-7366.361731249997,-8496.141856,-8553.880668749998,-5298.83067375,-5600.084839999999,-7271.360216249999,-4475.068175,-6027.591657499998,-44820.096959999995,-4866.081406,-5113.085033,-6918.8549137499995,-5735.086354999999,-6918.854913749999,-7030.106049999999,-5833.838248749999,-5921.339006249998,-7928.870063749999,-22868.628242857136,-5973.407346666666,-5340.06384,-5012.060192,-7064.085424,-6016.072656000001,-6424.077823999999,-5892.070832,-7448.090287999999,-7372.089071999998,-7610.11433
5,-7060.106560000002,-7280.088159999998,-6660.080559999999,-5112.061712,-4868.058368,-7396.089375999998,-6980.083599999999,-7648.091808,-6012.072352,-6970.08645,-6323.105183000001,-7081.3571862499975,-5560.08484,-3152.5477225,-5956.340521249999,-5877.588627499998,-5085.077265000001,-6661.351126249999,-7582.126542000001,-51536.36173124999,-7835.130975000001,-4063.8109787499993,-6475.098474999999,-7041.357186249999,-5782.5871124999985,-7453.862488749998,-8950.136349999997,-6297.104377000001,-6633.850368749999,-42521.34203625,-8792.146692,-7176.358701249999,-6613.850368749998,-6736.35264125,-3905.059085,-5960.0909,-4630.07657,-5813.8382487499985,-6210.093929999998,-49337.6068075,-5771.095511,-3830.05757,-5132.5780225,-8051.372336249998,-6922.6052924999985,-7280.120900000001,-7742.617412499998,-6075.092414999999,-6368.845823749999,-47058.851883749994,-7056.117676000001,-5623.8352187499995,-5845.089384999999,-6780.103019999999,-6573.109213000001,-6475.098474999999,-5247.5795375,-4641.32082625,-9377.6431675,-53507.61589749999,-4986.081406,-5532.5840825,-6756.352641249998,-5159.085839,-5128.827643749999,-5101.326886249999,-6182.593172499999,-5532.584082499999,-5901.339006249999,-41305.08938499999,-6047.1003470000005,-4756.322341249999,-8226.137826,-5220.07878,-4783.823098749999,-5410.08181,-7101.3571862499975,-4725.071204999999,-6261.345066249999,-48662.60529249998,-5429.089869,-5570.09269,-4800.072719999999,-6566.349611249999,-6328.845823749999,-6653.850368749998,-5243.829158750001,-5841.339006249998,-7686.36779125,-29919.360196428563,-5600.06916,-5468.065968,-5308.064448,-8752.105792,-4944.059584,-6040.07296,-6772.081472,-8404.102144,-7508.090287999999,-7726.782846666667
6,-5760.086579999999,-6060.072959999999,-6044.073264,-6516.078736,-6012.072351999998,-7040.08512,-6008.072048,-6964.083904,-5172.061712,-5463.400976666668,-8157.136617000001,-4233.8140087500005,-5342.581052499999,-5905.089384999998,-7536.364761249999,-7817.618927499999,-7216.3587012499975,-3600.05454,-6866.113646000001,-47753.853398750005,-7861.131781000001,-7128.857943749999,-8023.871578749997,-6685.101505,-7053.8564287499985,-6542.599232499998,-6617.600747499998,-7539.126139000001,-6950.106049999999,-53701.36627625,-5202.086242,-6447.597717499999,-5738.8367337499985,-5980.090899999999,-4748.821583749999,-7492.614382499999,-6918.115258000001,-7200.109079999998,-5247.5795375,-56788.873093749986,-5067.084227,-6305.095444999999,-7227.6098375,-6340.09696,-6400.096959999998,-6740.112840000001,-7465.113624999999,-5247.579537499999,-8553.88066875,-48295.104535,-6159.1019590000005,-5132.578022499999,-4463.8170387499995,-5220.07878,-6688.111228000001,-4847.5734775,-6055.092415000001,-6146.343551249999,-7021.35718625,-51616.36173124999,-6550.108810000001,-5307.579537499999,-7678.86703375,-5751.095511,-8688.88218375,-4990.075749999999,-6681.351126249999,-6807.603777499998,-6661.351126249999,-54763.86854874999,-5590.09269,-4087.5613574999998,-8493.141453,-5291.32991625,-4511.317796249999,-4745.071204999999,-6142.593172499998,-6721.351126249998,-5932.590142499999,-47947.603777499986,-5728.095108,-5113.085033,-7128.8579437499975,-4233.8140087500005,-7397.612867499998,-5620.084839999999,-5212.5780225,-6162.593172499999,-8173.8746087499985,-27575.782878571415,-6373.412806666666,-5872.070832,-6804.082383999999,-8812.105791999998,-7748.093328000001,-7772.093631999999,-5800.069919999998,-8328.100927999998,-8084.097583999999,-6013.423613333334
7,-9366.809486666665,-9808.119168000001,-10476.127376,-10488.126767999998,-8048.097888,-10172.124031999998,-6864.082383999998,-8664.105184,-8452.102751999999,-11823.481056666664,-9508.159588,-10806.41627125,-11218.921573749998,-8930.136349999999,-8628.882183749998,-7465.113624999999,-7262.611352499998,-9900.151500000002,-7559.126139000001,-66037.64316749999,-8091.135811000001,-10585.162105,-9492.644682499998,-8411.378396249998,-10537.6613475,-7797.618927499998,-9076.38900125,-9931.168051,-8387.6280175,-87335.18937499999,-9333.157573,-9757.6492275,-7595.116655000001,-10426.41021125,-6803.8533987499995,-9856.401121249999,-7318.123318000001,-11233.92308875,-10731.41475625,-66772.64468249999,-9692.162812,-7828.870063749999,-7710.118169999999,-7730.11817,-8438.87915375,-9192.154752,-8343.877638749998,-11416.42536125,-9112.638622499999,-59956.37991125,-9238.155558,-11606.42839125,-9436.39506125,-8723.88369875,-9902.166842,-10751.414756249998,-8415.128775000001,-7658.867033749999,-11527.676497499997,-74090.16058999998,-7237.120497000001,-10296.40718125,-10300.157560000003,-8370.14105,-10232.6568025,-9523.895818749997,-7658.867033749998,-8597.6310475,-11107.6704375,-59107.628017499985,-8712.146692,-12620.19392,-7680.128960000001,-11167.670437499999,-8645.131804999999,-9865.149985,-12885.198465000003,-11361.423846250002,-9025.137864999999,-58526.376881249984,-9160.15314,-10287.172887,-12145.186344999998,-11741.429906250003,-11000.16968,-7445.113624999999,-6106.34355125,-10893.91702875,-10217.655287499996,-49988.69614285712,-10010.124669999997,-9192.111872,-9792.119472,-8900.107920000002,-10580.1292,-10168.123727999999,-10104.123423999998,-8924.108223999998,-9140.11248,-9610.145410000001
8,-9863.482443333334,-12056.147136,-5752.069311999999,-8336.101536,-8864.108224000001,-13220.161119999999,-8212.099712,-8280.10032,-9404.114303999999,-11196.806503333335,-12302.207142000001,-9175.140894999999,-9812.650742499998,-10192.656802499998,-5192.578022499999,-8177.6249874999985,-7100.109079999999,-11618.927633750001,-9169.154349,-73181.40869624999,-7881.131781000001,-11653.92914875,-9500.14544,-10882.665892500001,-7238.860973749999,-6855.104534999999,-12243.93823875,-10701.180141,-8957.637107499999,-70575.15301499999,-10129.170469,-8150.124229999999,-9270.142409999999,-7207.609837499998,-8106.373851249999,-10228.90642375,-9157.152737,-10490.160590000001,-8035.122714999999,-60477.631047499985,-9672.162812,-7092.608322499999,-10168.906423750002,-7377.612867500001,-13126.45263125,-9991.168051,-9788.90036375,-12002.6840725,-10632.662862499998,-77852.66892249999,-10083.169663,-10778.915513750002,-10205.156044999998,-8933.88672875,-12417.209157000001,-9575.146955,-7441.363246249999,-11741.429906250001,-10663.91399875,-76562.6658925,-6533.109213000001,-10046.404151249997,-9540.14544,-9097.152737,-9048.88824375,-11978.93369375,-10027.6522575,-7821.369306249999,-9112.638622499997,-74223.91096874999,-8890.14911,-10945.168165000003,-9577.160797,-8756.38294125,-9975.153014999998,-8157.6249875,-8997.637107499999,-10561.41172625,-8455.128774999997,-67835.14695499997,-8065.135005000001,-9206.153946,-12338.939753749999,-9151.39051625,-10873.917028749998,-9037.637107499999,-8027.621957499999,-12770.196949999998,-12240.187859999998,-35020.087299999985,-10920.136500000002,-9820.120079999999,-9528.116127999998,-9668.117648000001,-10376.125856,-11752.143791999997,-8956.109136,-12116.148655999998,-12288.149567999999,-10026.818366666665
9,-7930.120989999999,-10880.132239999997,-11052.134671999998,-11788.143487999996,-10912.133152000002,-11240.136799999998,-8416.101535999998,-9092.110352,-7996.096976000002,-8613.440106666665,-7355.122915000001,-10082.653772499996,-10585.162105,-11063.920058749998,-7781.369306250001,-9781.39960625,-10700.16362,-9005.137864999999,-8430.14105,-54877.618927499985,-7217.120497000001,-13281.45414625,-10676.413241249998,-9998.90339375,-7302.6113525,-7651.36627625,-10842.665892500003,-10974.184574,-9187.6401375,-78453.92005875,-11891.200291000001,-10533.91096875,-8981.38748625,-8882.635592499999,-8062.6234724999995,-9198.89127375,-10342.174902,-10537.661347500001,-8316.376881249998,-50573.85945874999,-7950.132990000001,-9503.89581875,-9757.649227500002,-9492.644682499998,-8513.88066875,-12423.209963000001,-12030.18483,-12521.442026250003,-10850.166650000001,-72660.15755999999,-9103.153543,-10196.407181249997,-10307.658317499998,-10208.90642375,-11859.198679000001,-9848.90036375,-10332.656802500003,-9991.402636249997,-10628.912483749999,-79650.17270999998,-10221.172081,-9357.6431675,-11495.177255,-8916.149916,-8292.6265025,-10042.653772499998,-8130.1242299999985,-6946.355671249999,-10168.906423749999,-63952.6386225,-9436.157976,-13023.950358749998,-9163.153543,-12588.942783749999,-10751.41475625,-7821.369306249999,-7393.862488749998,-10798.91551375,-12382.690132499998,-61152.63256249999,-9278.155558,-8367.140647,-9001.38748625,-8973.88672875,-12410.190890000002,-9658.89733375,-7722.617412499999,-11808.93066375,-10212.6568025,-53750.848353571404,-8646.774653333334,-9184.111264,-11356.138015999997,-6972.0845119999985,-10740.13072,-11036.134976000001,-6400.077519999999,-10668.129807999998,-12368.151088,-11136.837236666664
