,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,17,14,20,11,16,16,11,17,17,12,18,16,14,16,19,18,10,14,17,17,19,16,15,16,14,14,15,21,13,18,17,22,15,11,19,20,19,19,20,17,16,17,17,17,21,17,13,19,15,20,19,16,14,19,15,15,15,18,15,13,15,13,17,13,16,16,14,20,16,15,15,11,14,21,16,18,13,16,17,15,15,16,13,14,17,18,15,17,20,15,12,17,14,22,15,16,19,15,19,19
1,16,15,13,10,12,9,15,9,9,10,16,15,10,10,7,11,9,10,12,12,16,11,12,11,13,9,12,13,12,15,15,17,16,13,10,12,14,10,13,11,12,10,13,11,12,10,6,12,9,10,13,17,9,4,14,11,11,10,10,11,14,11,17,10,12,12,10,8,9,13,11,14,12,14,11,14,11,11,11,15,9,13,14,15,15,14,10,9,15,16,11,9,16,15,13,20,10,14,13,15
2,14,11,7,9,8,7,8,6,10,11,13,12,7,9,5,12,6,8,12,9,14,10,7,10,8,6,14,8,7,17,12,11,13,10,12,13,10,10,9,9,6,9,11,10,10,6,11,11,10,8,10,12,12,11,14,11,4,9,10,9,10,9,8,11,8,8,8,7,8,8,11,6,10,6,8,7,11,9,7,8,7,8,9,10,9,9,8,9,13,6,15,11,10,11,10,13,11,9,9,13
3,14,15,8,8,6,6,9,10,11,8,10,15,12,8,9,10,4,9,10,10,17,9,10,7,6,5,7,11,10,14,8,9,8,9,5,12,11,6,3,7,10,10,11,9,4,8,7,4,9,11,11,11,8,10,11,11,5,5,9,8,13,10,6,8,8,6,8,6,11,8,9,8,12,8,10,2,8,9,7,10,8,9,6,7,7,7,4,13,12,6,13,14,13,9,14,8,4,9,9,9
4,15,9,10,7,6,6,10,7,9,8,11,15,6,10,6,10,6,4,6,10,9,5,9,5,7,8,10,12,7,9,11,9,4,6,7,8,10,4,6,4,8,8,7,8,7,13,6,4,4,4,14,14,6,8,7,7,5,9,7,8,8,8,10,10,7,5,7,4,5,8,14,7,10,9,4,3,7,3,5,9,7,10,9,10,7,10,8,9,9,8,11,9,11,8,6,11,7,9,8,13
5,11,11,8,6,6,4,8,13,9,8,10,8,6,3,7,5,2,6,12,4,13,4,7,8,4,8,8,11,9,5,14,8,12,5,7,4,4,6,6,6,8,8,7,7,7,9,9,4,9,6,14,9,4,7,9,7,4,4,8,5,13,7,7,5,6,6,8,3,7,5,7,4,8,6,6,6,7,5,3,3,7,5,4,7,5,9,5,5,5,6,5,6,5,8,5,9,8,9,11,13
6,12,7,6,6,6,4,7,8,8,5,8,5,5,8,3,5,7,2,9,5,11,6,9,6,6,4,6,7,3,9,7,7,8,6,6,4,7,6,5,5,8,12,9,5,7,9,7,3,5,3,12,8,6,7,7,2,1,5,7,8,13,11,7,8,6,3,5,2,3,7,5,7,9,4,6,3,6,5,3,4,10,4,5,2,3,4,4,6,6,6,6,5,9,12,10,10,5,7,9,8
7,12,11,11,13,7,7,10,7,8,11,9,8,9,9,5,5,2,6,9,7,9,6,7,2,4,8,3,9,5,4,8,5,9,4,5,6,6,4,6,3,8,9,7,7,4,6,6,7,6,3,13,13,6,5,9,8,4,6,10,6,12,9,4,8,5,5,3,6,4,6,7,8,5,8,12,6,7,5,5,5,11,7,5,10,3,8,5,9,8,5,9,6,8,6,8,11,8,9,5,9
8,13,7,5,4,4,11,10,8,7,8,8,7,4,5,5,8,5,9,9,5,13,5,6,6,4,6,5,10,3,1,9,7,9,6,3,4,7,4,2,3,8,6,8,5,5,6,4,9,5,3,11,10,8,6,9,4,2,7,4,5,7,8,6,6,5,5,8,6,4,2,6,7,7,6,6,3,4,5,3,8,6,6,5,6,5,7,4,4,8,4,8,6,10,6,12,9,4,3,10,8
9,7,6,6,6,4,7,7,6,7,8,5,8,4,6,4,4,5,4,9,3,7,4,7,5,4,3,2,7,3,2,10,4,6,4,4,2,4,4,1,2,8,7,5,5,2,8,2,5,4,3,8,5,5,5,9,5,6,5,4,7,8,9,1,6,1,5,5,4,2,2,9,9,7,5,5,3,4,3,5,6,10,8,3,6,4,5,5,8,5,8,8,8,10,3,8,5,6,6,9,5
