,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,17,14,20,11,16,16,11,17,17,12,18,16,14,16,19,18,10,14,17,17,19,16,15,16,14,14,15,21,13,18,17,22,15,11,19,20,19,19,20,17,16,17,17,17,21,17,13,19,15,20,19,16,14,19,15,15,15,18,15,13,15,13,17,13,16,16,14,20,16,15,15,11,14,21,16,18,13,16,17,15,15,16,13,14,17,18,15,17,20,15,12,17,14,22,15,16,19,15,19,19
1,15,14,16,14,18,17,16,12,15,10,18,14,12,15,17,13,13,13,15,14,14,13,13,10,16,13,14,17,13,16,14,18,19,17,11,15,17,13,17,14,14,11,10,13,12,11,11,15,14,14,15,15,15,8,14,15,17,11,12,16,13,14,19,15,18,15,14,13,15,19,12,14,17,14,12,17,17,17,13,14,11,14,18,13,16,15,13,13,16,14,13,10,17,17,13,20,11,17,14,14
2,13,14,10,15,18,13,13,12,15,13,12,13,14,16,13,14,12,16,14,14,12,13,13,10,13,11,13,10,14,18,13,17,14,13,17,13,14,14,10,14,10,12,13,15,13,11,19,14,11,14,9,14,14,13,12,10,11,12,14,14,9,12,10,14,15,16,12,11,13,13,14,6,18,13,12,15,12,17,13,16,8,11,8,11,12,15,11,13,21,11,18,14,14,17,13,18,14,12,9,10
3,12,11,13,11,12,13,9,12,15,10,11,16,14,16,14,15,7,14,12,14,15,13,17,12,13,13,12,14,16,20,9,15,12,14,8,14,20,11,8,15,14,14,15,13,8,10,18,9,16,16,9,11,11,13,10,15,13,11,14,13,12,13,9,12,15,11,15,12,16,14,11,11,18,15,13,12,10,17,10,13,11,10,12,11,8,14,9,16,16,8,18,19,15,19,16,11,8,14,8,9
4,10,4,15,13,15,13,10,11,16,11,12,11,12,14,16,11,8,9,8,14,8,11,17,11,14,12,14,13,15,12,14,13,8,12,6,9,16,9,9,9,12,10,9,8,9,17,11,10,8,11,12,15,11,12,10,10,7,16,13,11,7,9,14,11,13,11,14,9,12,17,15,9,16,15,10,14,13,9,8,12,7,10,12,11,14,17,10,13,15,11,9,9,8,12,12,9,10,11,11,15
5,12,8,10,9,9,11,13,12,12,10,13,13,9,5,11,11,8,12,14,11,12,9,13,11,11,15,12,12,11,13,16,14,14,10,7,7,10,9,10,10,15,9,9,10,9,11,20,12,13,9,10,12,11,11,14,8,7,6,13,10,13,9,9,9,9,11,12,8,12,14,11,7,17,9,6,10,11,10,9,14,8,10,6,12,13,13,9,11,11,11,11,10,9,15,9,9,10,11,11,11
6,9,8,9,12,10,10,12,11,12,8,14,6,11,10,13,11,15,7,12,10,13,13,17,12,14,10,8,11,10,14,12,13,13,10,7,9,13,13,9,10,13,11,10,7,10,12,16,9,9,11,12,9,11,10,12,5,6,11,9,12,10,14,12,11,15,10,12,10,11,14,11,5,16,11,8,9,10,15,10,12,10,9,12,6,11,13,8,12,12,11,7,6,11,16,14,14,8,14,12,11
7,12,6,16,18,12,12,11,12,14,16,12,14,15,11,12,11,11,14,9,13,9,15,17,13,12,11,9,13,10,19,13,14,12,11,10,11,11,15,11,11,16,8,7,10,11,12,15,12,11,11,10,14,15,12,12,13,10,11,13,12,11,16,16,11,15,16,13,15,16,15,12,11,13,16,12,17,15,19,13,11,14,15,15,17,13,11,10,17,14,14,15,9,11,16,15,13,12,12,5,10
8,17,12,10,12,11,18,11,11,16,13,15,9,11,12,11,8,10,16,11,11,11,15,13,19,8,8,12,15,13,15,15,16,12,9,12,10,17,12,10,6,15,10,11,7,12,14,15,15,10,12,11,15,18,10,13,9,9,12,11,13,9,14,16,13,13,17,17,9,13,13,14,9,15,14,15,11,12,14,12,15,9,14,15,12,14,14,11,16,12,10,13,9,14,14,15,13,11,14,13,11
9,11,11,14,16,12,15,14,12,11,12,12,13,14,11,9,11,15,10,10,7,13,16,16,14,8,11,12,16,11,17,18,15,13,12,10,8,11,11,10,8,15,12,12,14,12,14,16,16,10,12,11,10,16,12,17,11,14,12,12,10,14,13,12,10,11,13,11,9,12,14,14,10,14,16,14,11,10,14,13,14,9,10,12,12,15,15,10,17,12,11,7,9,16,10,15,12,7,13,12,7
