,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
0,-6756.772856666666,-5104.064143999999,-8220.10336,-5180.0653600000005,-6264.079344,-6864.086944000001,-4204.051984000001,-6404.079344,-5352.067791999999,-5610.071889999999,-7992.138632000001,-6068.845823749999,-5471.3359762499995,-5340.084839999998,-6923.859458749999,-6817.606807499998,-4936.32840125,-5027.579537499999,-6989.122109000001,-53053.86551875,-7417.128557000001,-5926.34355125,-6198.84885375,-6607.603777499999,-5067.579537499999,-5597.588627499999,-6428.851883749998,-7555.130975000001,-4695.074234999999,-54423.868548750004,-7210.124930000001,-8253.880668749998,-6218.84885375,-4362.568932499999,-6286.349611249999,-8083.8776387499975,-7265.126945000001,-8578.885213749998,-8143.8776387499975,-42936.343551249985,-4942.086242,-6112.596202499997,-6583.8533987499995,-6231.348096249999,-7442.617412499998,-6661.115661000001,-5102.581052499999,-8547.634077499999,-6211.348096249999,-62630.136349999986,-6862.118482000001,-6963.859458750001,-6246.34961125,-7866.373851249999,-5531.095511,-5930.09393,-5862.5931725,-6512.602262499998,-5906.343551249998,-34790.075749999996,-6060.104780000001,-4813.82612875,-6943.85945875,-5695.0987350000005,-5851.342036249999,-6405.101504999999,-6571.3541562499995,-8226.379911249998,-5305.083325,-40677.5886275,-6066.105586000001,-4256.3162812499995,-5908.103168000001,-8341.381426249998,-6085.095444999998,-7050.112109999997,-4675.074235,-5862.5931725,-7015.110594999999,-43190.09392999999,-5715.0987350000005,-6063.105183000001,-5383.835218749999,-5522.587112499999,-7320.115139999998,-6598.854913749998,-5570.0878699999985,-6903.859458749998,-9702.653772499998,-32200.795003571428,-4240.0545999999995,-7520.094239999999,-5852.073872000001,-8312.104272,-5468.069008,-6500.08208,-6388.079647999999,-5940.074479999999,-6512.081471999999,-7170.11211
1,-5690.089910000001,-5984.074784,-5632.070831999999,-5220.06536,-7144.089984,-7376.092415999998,-4840.060799999999,-4368.055328,-5640.071440000001,-3776.715503333334,-6799.118079000001,-5862.5931725,-4888.82764375,-4722.574992499998,-7636.370821249999,-5387.5855974999995,-5668.83976375,-4773.826128749999,-4962.086242,-37202.5810525,-5741.0995410000005,-4722.5749925,-5581.33900625,-3673.80794875,-6341.351126249999,-4905.077264999999,-5095.080295,-6434.112034000001,-5458.83673375,-40523.83824874999,-5517.096317,-7280.11514,-6801.357186249999,-7711.372336249999,-3151.29961625,-6401.35112625,-6233.109213000001,-5581.33900625,-6001.345066249998,-42996.34355125001,-4936.085436,-4132.5659024999995,-4298.818553749999,-4750.075749999999,-5237.5825675,-4847.084227,-3823.8109787500002,-6123.847338749999,-5383.8352187499995,-46778.85188374997,-4982.086242,-5217.582567499998,-5166.33143125,-4033.81400875,-4726.081406,-5590.087869999999,-6045.095444999998,-4651.32385625,-5285.0833250000005,-42628.84279375001,-4683.081003,-4607.5734775,-7545.119685,-4755.082615,-6808.857943749999,-4583.823098749999,-5486.337491249999,-4817.576507499998,-6262.5992325,-48516.35567125,-4617.080197,-5142.581052499999,-7150.124930000001,-5367.5855974999995,-4627.573477499999,-6958.860973749999,-6481.35112625,-6198.848853749999,-5023.829158749999,-40136.33749124999,-3602.0620620000004,-5652.0983320000005,-7751.3723362499995,-4731.323856249999,-6317.600747499999,-5530.087869999998,-5471.3359762499995,-5526.337491249999,-6503.8533987499995,-27867.212835714276,-4900.0637,-4076.051376,-5820.0729599999995,-7172.0905920000005,-5248.065967999999,-7408.093327999999,-4056.0513759999994,-7548.094847999999,-5268.065968000001,-5616.755096666667
2,-4843.409183333332,-5528.0690079999995,-3956.049856,-5948.0750880000005,-7292.092111999999,-6068.076607999999,-5128.064448,-4964.062624,-5268.065968,-4453.390966666667,-5405.094705,-4888.827643750001,-5363.8352187499995,-5672.590142499998,-5723.84127875,-5767.5916575,-4335.0681749999985,-5363.8352187499995,-4824.083824,-45021.348096249996,-5451.095511,-4817.576507499999,-4627.5734775,-3610.0575699999995,-4200.066659999999,-4128.81552375,-5760.090899999999,-4249.073749,-7311.36627625,-48650.10604999999,-5448.095108,-7861.375366249999,-5058.830673749999,-5031.32991625,-5336.33446125,-5533.838248749999,-4781.083421,-5910.093929999999,-3325.0530249999993,-38418.833703749995,-2967.0519870000003,-3938.8124937499997,-5245.083325,-5570.0878699999985,-5411.335976249999,-4295.074555,-7263.865518749997,-4960.07878,-4465.071205,-45021.34809624999,-3907.068107,-6171.348096250001,-5581.339006249999,-4702.5749925,-4229.073749,-3915.062115,-3785.0590850000003,-5153.832188750001,-5098.83067375,-36701.32991625,-3151.0552110000003,-3982.5628725,-4338.818553749999,-4640.0806,-5296.334461249999,-6096.34658125,-4101.31476625,-4508.82158375,-5150.08181,-36835.080295,-4361.075361,-2937.5462074999996,-7702.134602000001,-5150.08181,-3796.31022125,-5058.830673749999,-4647.5734775,-5875.092414999998,-5153.832188749999,-41218.83976375,-3217.0560170000003,-4393.076973,-3250.0515099999993,-4223.8170387499995,-6290.099989999999,-5648.839763749999,-3958.81249375,-4532.571962499999,-8043.877638749998,-21505.768328571423,-6543.417356666665,-6312.079951999999,-4888.0614080000005,-5972.075391999999,-4584.058064,-6660.083599999998,-5056.063536,-5040.06384,-3788.0477279999996,-3963.3958633333327
3,-4686.7406666666675,-4232.052592,-4920.06232,-4964.062623999999,-4840.060799999999,-5992.075392,-3264.041344,-3744.0474240000003,-6232.078431999999,-3403.377316666667,-4899.085839,-5973.844308749998,-5051.32991625,-5007.5795375,-5743.84127875,-5387.585597499999,-2660.0424199999998,-4406.319311249999,-4525.078585,-41198.83976374999,-5609.0979290000005,-4441.32082625,-6456.352641249998,-4488.82158375,-4865.077265,-4180.0666599999995,-5933.844308749999,-4968.087048,-5740.090899999998,-58052.626502499996,-4209.073749,-6812.608322499999,-4322.568932499999,-5316.33446125,-2351.28749625,-5261.33294625,-7377.128557000001,-4370.069689999999,-3063.7988587499995,-39327.585597499994,-4738.083018,-4271.31779625,-5577.588627499998,-5000.07878,-3202.5507525000003,-3838.0668980000005,-6765.107565,-4678.824613749999,-5800.090899999999,-46798.85188374999,-2921.0511810000003,-3823.81097875,-4461.32082625,-4928.827643749999,-4824.083824,-5023.829158749999,-4572.571962499999,-5031.32991625,-4963.82915875,-43303.84430874999,-3795.0664950000005,-4790.075749999999,-4583.823098749999,-3838.0668980000005,-5288.83370375,-4481.32082625,-5451.335976249999,-4508.82158375,-7077.612867499999,-35485.077264999985,-3818.0668980000005,-4117.5643875,-8941.155961,-5415.0863549999995,-4980.07878,-5573.83824875,-3610.057569999999,-6103.847338749999,-4030.0636299999996,-41025.089385,-3562.062062,-3237.0560170000003,-5438.836733749999,-3891.3117362499997,-3467.5552975,-4916.328401249998,-3155.049995,-5648.83976375,-7382.6174125,-14061.463907142854,-5760.07462,-7240.0912,-5588.070527999999,-7316.0924159999995,-6448.081168,-4840.0608,-3000.038,-5612.070832,-2684.033744,-3376.7195766666664
4,-3896.7284566666663,-1632.020672,-5592.070832,-6524.082384000001,-5508.0690079999995,-4920.062319999999,-4224.0535039999995,-3596.0452960000002,-6308.079647999999,-4496.724603333333,-5307.092287,-3586.307191249999,-4370.069689999999,-4287.5674174999995,-7267.6158975,-5035.080295,-3127.5492374999994,-3915.0621149999997,-2162.037882,-43631.34506625,-2619.045539,-5391.3359762499995,-7715.1227149999995,-4275.068175,-4885.077265,-4267.5674175,-5288.83370375,-6049.105989000001,-5601.339006249998,-32878.82158375,-5563.0971230000005,-4631.323856249999,-3325.053025,-4932.578022499999,-2490.03939,-3602.5568125,-6391.111631000001,-4085.065145,-3111.2996162499994,-27626.310221249998,-4646.081406,-3273.8018887499993,-3792.5598425,-2513.78976875,-3538.80643375,-6365.110825000001,-4560.072719999999,-4631.32385625,-3016.29810125,-37550.081809999996,-4393.076973,-5486.337491249999,-4275.068174999999,-4081.31476625,-4666.081406,-4342.5689325,-2700.04242,-6211.348096249999,-4960.07878,-34596.32537124999,-2530.04433,-2588.79128375,-5506.33749125,-3763.0648830000005,-4465.071204999999,-4148.8155237500005,-5320.084839999999,-3962.5628724999997,-4485.071204999999,-46083.85036874999,-5445.094705,-3562.5568125,-6900.120900000001,-6642.6052924999985,-4512.571962499999,-5495.086354999999,-5197.5825675,-4010.0636300000006,-3036.2981012500004,-30232.56590249999,-3194.055614,-3197.0560170000003,-4841.326886250001,-3633.80794875,-4885.077265,-6160.096959999999,-3657.5583275,-4013.8140087499996,-5261.33294625,-18492.903564285712,-3920.0509599999996,-3348.041648,-3044.0383039999997,-5060.06384,-4960.062320000001,-3140.03952,-4120.0516800000005,-5080.063840000001,-3864.0489440000006,-5110.081030000001
5,-5320.08436,-3356.0422559999997,-3648.0462079999998,-4032.051072,-3356.0422560000006,-3864.048944,-4720.05928,-4120.05168,-4868.0614080000005,-3710.0482300000003,-4692.082212,-4453.820068749999,-3823.8109787500002,-1797.5280275,-4342.5689325,-3915.0621150000006,-3586.30719125,-4247.5674174999995,-5396.093496,-38572.5840825,-3956.069316,-2941.29658625,-5696.34052125,-4370.06969,-3942.5628724999997,-4786.325371249999,-5336.33446125,-4117.072137,-3721.30870625,-37202.5810525,-6394.112034000001,-5435.0863549999995,-5391.3359762499995,-3701.30870625,-2276.28598125,-2968.79734375,-3516.061256,-3823.81097875,-3792.559842499999,-31642.5689325,-5152.090272,-2822.5446924999997,-3938.8124937499997,-4176.31628125,-4295.068175,-3864.0677040000005,-7738.873093749998,-4655.074234999999,-4627.573477499999,-24866.30416125,-3996.069316,-4251.317796249999,-4813.826128749999,-4013.81400875,-5037.088257,-2873.7958287499996,-2303.78673875,-2731.29355625,-5458.836733749999,-33901.32385625,-3697.0640770000005,-3582.5568125,-3847.5613574999998,-3450.0604500000004,-2992.5477224999995,-3372.553782499999,-4132.5659024999995,-2850.0454500000005,-4536.32234125,-39113.83521874999,-4025.0705250000005,-2992.5477224999995,-7561.131781000001,-3610.05757,-3111.29961625,-3487.5552975,-3942.5628724999997,-3697.5583275,-3467.5552975,-37376.33143124999,-2343.040703,-2987.0519870000003,-2371.28749625,-4960.078780000001,-4916.32840125,-4722.5749925,-2517.5401475,-4393.820068749999,-4461.32082625,-20678.62339285714,-3846.716413333334,-3712.046512,-3768.047728,-6500.08208,-3332.041952,-3792.048032,-3524.0443840000003,-5616.071135999999,-3836.048336,-3586.722906666666
6,-3660.05772,-2852.035872,-4512.057152,-4848.061408,-4032.0510719999993,-3524.044384,-3932.0495519999995,-3624.0459039999996,-4052.0510719999997,-2940.03822,-6368.111228000001,-2541.2905262500003,-4390.06969,-3863.81097875,-5415.086355,-4410.069689999998,-5011.329916249999,-2018.78219375,-3875.0664950000005,-27973.810978749996,-5241.091481,-4655.074235,-6761.357186249998,-4678.824613749999,-5075.080294999999,-3491.3056762500005,-3705.059085,-4163.072943,-4013.81400875,-45522.5992325,-4232.074152,-5153.832188749999,-4726.325371249999,-3938.8124937499992,-2232.5356025,-3555.0560549999996,-4669.081809,-4821.32688625,-3178.8003737499994,-31141.31779625,-4827.084227,-4077.5643874999996,-3938.8124937499992,-3420.0545399999996,-3843.81097875,-5198.091078,-6381.351126250001,-3558.8064337500005,-3582.5568124999995,-32665.071205,-3772.0660920000005,-3467.5552975,-3297.5522674999993,-3206.3011312499993,-4620.0806,-1876.27992125,-2185.034845,-4366.31931125,-3630.05757,-37530.081809999996,-3289.0576290000004,-4465.071204999999,-5082.5810525,-4117.072137,-5478.836733749999,-4156.3162812499995,-4085.0651450000005,-4702.5749925,-4655.074235,-40871.33900625,-3927.068107,-1421.27234625,-6575.114855000001,-3772.5598425000003,-2680.0424199999998,-2751.2935562499997,-3847.5613574999993,-5035.080294999999,-3990.06363,-32858.821583749996,-3611.063271,-2760.0483600000002,-4916.328401249998,-1900.0303,-4346.319311249999,-4793.82612875,-2731.2935562499997,-4433.820068749999,-5126.331431249999,-21505.768328571423,-3710.04823,-2636.033136,-4704.059584,-5972.075391999999,-5520.06992,-5372.067792000001,-2784.035264,-6356.080255999999,-4548.056847999999,-3423.3869833333333
7,-6463.435823333334,-3432.043472,-7572.095151999999,-7700.09728,-6188.078128000001,-6480.082079999998,-4128.052288,-4872.061712,-6980.08816,-7650.09919,-5244.091884,-7901.37536625,-7145.113624999999,-5078.830673749999,-4916.32840125,-3772.5598425,-5197.5825675,-6856.358701249998,-4094.071734,-45970.09998999999,-3490.0604500000004,-6717.6068075,-7327.6158975,-6056.34658125,-5933.844308749999,-4338.818553749999,-4465.071204999999,-7584.132184000001,-4101.31476625,-73536.41021124998,-6808.119288000001,-7053.86248875,-6595.104535000001,-6436.3526412500005,-3582.5568125,-5343.8352187499995,-5333.093093,-8823.88975875,-6218.84885375,-35351.32688625,-7820.137020000001,-3748.80946375,-3610.05757,-4607.5734775,-5391.33597625,-5796.1015560000005,-6527.6037774999995,-6840.109079999999,-4057.5643875,-43958.84582375,-5405.094705,-7790.124229999999,-7813.874608749999,-6103.847338749999,-6532.114452000001,-6432.6022625000005,-4892.5780225,-5625.089384999999,-6405.101505,-47146.35264125,-4531.079391,-7030.112109999998,-7073.862488749998,-5770.1007500000005,-6812.608322499998,-7715.1227149999995,-6072.596202499999,-6607.6037774999995,-8305.131804999999,-44132.59620249999,-6762.118482000001,-6650.106049999999,-6394.112034000001,-7410.11817,-5130.08181,-7382.617412499998,-8023.87763875,-8471.384456249998,-6642.6052925,-37897.582567499994,-5471.095511,-6920.120900000001,-7623.871578750001,-9163.895818750001,-7212.614382499999,-4797.576507499999,-4845.077265,-8740.13938,-5605.089384999999,-36847.949639285696,-6963.422816666665,-3912.0495519999995,-6068.076608000001,-7080.089679999999,-7128.090288,-5568.070527999999,-6356.0802559999975,-5328.067488,-3720.04712,-3893.3947533333326
8,-6950.10989,-6908.087248000001,-4076.051375999999,-6212.078431999999,-6600.0836,-8348.105488000001,-4604.058063999999,-4248.053808,-7824.099104000001,-6643.419176666666,-6716.117676000001,-5225.0833250000005,-4987.5795375,-6947.609837499999,-3630.05757,-3586.3071912500004,-4916.328401250001,-7185.113624999999,-5842.1023620000005,-37222.5810525,-4252.074152,-7355.116655000001,-6436.352641249999,-8186.379911249997,-3938.8124937499997,-4085.0651450000005,-6072.5962025,-7406.129766000001,-5696.340521249998,-51603.86248874999,-8073.141453000001,-6697.606807499999,-6222.5992325,-4223.8170387499995,-5818.84279375,-4108.81552375,-6871.119691000001,-5692.5901425,-4702.5749925,-23302.5507525,-7176.125736000001,-3610.05757,-6005.095445,-3443.80491875,-7643.8715787500005,-6325.110825000001,-7050.11211,-6768.857943749998,-5458.836733749999,-58206.37688124999,-5172.090272,-7113.862488749999,-8641.38748625,-4746.32537125,-8050.141050000001,-3918.8124937499997,-3823.81097875,-6100.096959999999,-6147.597717500001,-40483.83824874999,-4025.070525,-6978.860973749997,-6958.860973749999,-5859.1019590000005,-5890.09393,-9085.143924999998,-6317.600747499999,-4132.5659025,-6246.34961125,-45870.09998999999,-6762.118482000001,-5150.08181,-6871.119691000001,-5011.329916249999,-8170.130289999998,-4465.071205,-5272.5840825,-7386.36779125,-5102.5810525,-48650.10604999999,-3680.06448,-6135.106795000001,-8740.13938,-5818.84279375,-6880.10908,-5320.084839999999,-4342.5689324999985,-9116.39506125,-5890.093930000001,-24716.49058214285,-5526.738253333333,-5492.069312,-6720.08512,-7128.090288,-6216.0787359999995,-7484.094544,-5492.069312,-8496.107616,-6600.083600000001,-4146.731786666666
9,-6090.09657,-5928.075088,-6288.079647999999,-6476.081776,-6904.086944000001,-6288.079647999999,-5084.064143999999,-5448.069008,-5640.071440000001,-4823.395516666666,-4554.079794,-6246.34961125,-6313.85036875,-6008.84582375,-3966.313251249999,-5225.083325,-7358.867033749999,-4631.32385625,-4784.083824,-22761.29961625,-4959.085839,-8336.38294125,-7572.6204425,-7125.113625,-3705.0590850000003,-4556.32234125,-5312.5840825000005,-7774.136214000001,-4678.824613749999,-63418.88824375,-9039.158379,-7623.8715787500005,-6816.3587012499975,-4987.579537500001,-4746.32537125,-4203.8170387499995,-6336.109616000001,-5078.830673749999,-4726.32537125,-18785.040905,-6575.114855000001,-5747.591657499999,-5292.5840825,-5842.593172499999,-6100.09696,-6302.110422000001,-8098.879153749999,-7647.621957499999,-4631.323856249999,-52125.11362499999,-5796.1015560000005,-5173.83218875,-8783.88975875,-4916.32840125,-7452.130572000001,-5601.339006249999,-4885.077265,-5838.84279375,-6072.596202499999,-36313.82915875,-7498.131378000001,-5700.090899999999,-7980.12726,-4784.083824,-5391.33597625,-6412.6022625000005,-4987.5795375,-4061.31476625,-6317.6007475,-48302.6052925,-7150.124930000001,-5462.5871124999985,-5727.1003470000005,-7030.112109999999,-7263.865518750001,-4821.326886249999,-4200.06666,-6456.35264125,-6717.6068075,-49345.107565000006,-4022.070122,-4114.071734,-5153.832188750001,-5506.337491249999,-7548.87006375,-6076.346581250001,-3491.3056762500005,-7267.615897499999,-6310.099989999999,-25090.063049999997,-2986.7054933333334,-4008.0507679999996,-8108.102448,-4656.058976,-7488.094848000001,-5640.071439999999,-2352.029792,-7172.090592,-6472.081472,-4033.3969733333333
